ADCMAX: 32767
kP: 1000.00
kI: 0.00
kD: 25.00
MILLIS,DUTY,TARGET,RAW,AVERAGE
139991,58421,3.00,3.001343,3.000580
140327,58421,3.00,3.000275,3.000580
140665,58421,3.00,3.001190,3.000580
141002,58421,3.00,3.000885,3.000580
141341,58421,3.00,3.000580,3.000580
141678,58421,3.00,3.000732,3.000580
142016,58421,3.00,3.000275,3.000580
142353,58421,3.00,2.998749,3.000427
142691,58422,3.00,3.000275,3.000580
143028,58422,3.00,2.999969,3.000427
143366,58422,3.00,2.999969,3.000427
143703,58422,3.00,2.999817,3.000427
144040,58422,3.00,2.999969,3.000427
144377,58422,3.00,3.000275,3.000427
144715,58422,3.00,3.000122,3.000427
145053,58422,3.00,3.000580,3.000427
145390,58422,3.00,3.000122,3.000275
145728,58422,3.00,3.001038,3.000427
146065,58422,3.00,2.999664,3.000427
146404,58422,3.00,2.999969,3.000427
146740,58422,3.00,2.999664,3.000275
147078,58422,3.00,2.998291,3.000275
147416,58424,3.00,3.000885,3.000275
147753,58424,3.00,3.001038,3.000275
148090,58424,3.00,2.999664,3.000275
148427,58424,3.00,3.001343,3.000275
148764,58424,3.00,3.000580,3.000275
149102,58424,3.00,3.001343,3.000275
149440,58424,3.00,3.000122,3.000275
149778,58424,3.00,3.000580,3.000275
150116,58424,3.00,3.000427,3.000275
150454,58424,3.00,3.000427,3.000275
150791,58424,3.00,3.000275,3.000275
151128,58424,3.00,3.000275,3.000275
151465,58424,3.00,3.000427,3.000122
151801,58424,3.00,3.000732,3.000122
152138,58424,3.00,3.000732,3.000122
152476,58424,3.00,3.000732,3.000122
152814,58424,3.00,2.999054,3.000122
153152,58425,3.00,3.001190,3.000275
153489,58425,3.00,3.001038,3.000275
153827,58425,3.00,3.001038,3.000275
154165,58425,3.00,3.001190,3.000275
154502,58425,3.00,3.001801,3.000427
154840,58425,3.00,3.000885,3.000427
155176,58425,3.00,3.000885,3.000427
155514,58425,3.00,3.000580,3.000427
155852,58425,3.00,3.001801,3.000427
156188,58425,3.00,3.001495,3.000580
156525,58425,3.00,3.001953,3.000580
156863,58425,3.00,3.000885,3.000580
157201,58425,3.00,3.000427,3.000580
157538,58425,3.00,3.000732,3.000580
157876,58425,3.00,3.001190,3.000732
158213,58425,3.00,3.001343,3.000732
158551,58425,3.00,2.999817,3.000732
158888,58425,3.00,3.000885,3.000732
159226,58425,3.00,3.001343,3.000732
159563,58425,3.00,3.001343,3.000732
159901,58425,3.00,3.000732,3.000732
160238,58425,3.00,2.999969,3.000732
160577,58425,3.00,3.000580,3.000732
160913,58425,3.00,3.000427,3.000732
161250,58425,3.00,3.000732,3.000732
161587,58425,3.00,2.999817,3.000732
161926,58425,3.00,3.000122,3.000732
162262,58425,3.00,3.000580,3.000732
162598,58425,3.00,3.000885,3.000732
162936,58425,3.00,3.001495,3.000732
163274,58425,3.00,3.000275,3.000732
163610,58425,3.00,3.001190,3.000885
163948,58425,3.00,3.000580,3.000732
164287,58425,3.00,3.000885,3.000732
164623,58425,3.00,3.001038,3.000732
164961,58425,3.00,3.001343,3.000732
165299,58425,3.00,3.001953,3.000732
165636,58425,3.00,3.001343,3.000885
165972,58425,3.00,3.000885,3.000885
166309,58425,3.00,3.001038,3.000885
166647,58425,3.00,3.000885,3.000732
166983,58425,3.00,3.000275,3.000732
167321,58425,3.00,2.999969,3.000732
167659,58425,3.00,2.999054,3.000580
167996,58426,3.00,3.000275,3.000580
168334,58426,3.00,2.999054,3.000580
